voter_name,canonical_id,sources,positions,voter_types
Chigozie Obioma,OL:OL573193W,Guardian Top 100,2,Author
Chigozie Obioma,OL:OL891814W,Guardian Top 100,3,Author
Chitra Divakaruni,K:128cdaa33246,Top Ten Books,2,
Chitra Divakaruni,K:2a36d724bd0a,Top Ten Books,10,
Chitra Divakaruni,K:3370e18f51ca,Top Ten Books,6,
Chitra Divakaruni,K:4c98833a4f69,Top Ten Books,9,
Chitra Divakaruni,K:b691062fe51f,Top Ten Books,3,
Chitra Divakaruni,K:db109b1e87a7,Top Ten Books,1,
Chitra Divakaruni,OL:OL267096W,Top Ten Books,4,
Chitra Divakaruni,OL:OL27448W,Top Ten Books,5,
Chitra Divakaruni,OL:OL274505W,Top Ten Books,7,
Chitra Divakaruni,OL:OL675783W,Top Ten Books,8,
Chloe Aridjis,OL:OL102749W,Guardian Top 100,7,Author
Chloe Aridjis,OL:OL10432709W,Guardian Top 100,8,Author
Chloe Aridjis,OL:OL1190289W,Guardian Top 100,2,Author
Chloe Aridjis,OL:OL14866824W,Guardian Top 100,3,Author
Chloe Aridjis,OL:OL20867W,Guardian Top 100,9,Author
Chloe Aridjis,OL:OL26860869W,Guardian Top 100,6,Author
Chloe Aridjis,OL:OL38663W,Guardian Top 100,5,Author
Chloe Aridjis,OL:OL41225848W,Guardian Top 100,10,Author
Chloe Aridjis,OL:OL44222301W,Guardian Top 100,1,Author
Chloe Aridjis,OL:OL498556W,Guardian Top 100,4,Author
Chris Bohjalian,OL:OL1063588W,Top Ten Books,10,
Chris Bohjalian,OL:OL1095427W,Top Ten Books,7,
Chris Bohjalian,OL:OL267096W,Top Ten Books,4,
