voter_name,canonical_id,sources,positions,voter_types
Andrea Barrett,OL:OL466942W,Top Ten Books,10,
Andrew Hudgins,K:312f2e675a9c,Top Ten Books,6,
Andrew Hudgins,K:450eb07e587b,Top Ten Books,1,
Andrew Hudgins,K:d2d9f9b0f145,Top Ten Books,9,
Andrew Hudgins,K:d3e96a7e3439,Top Ten Books,4,
Andrew Hudgins,K:de8ae851971a,Top Ten Books,2,
Andrew Hudgins,K:fbe28ea907ef,Top Ten Books,5,
Andrew Hudgins,OL:OL20600W,Top Ten Books,7,
Andrew Hudgins,OL:OL20867W,Top Ten Books,8,
Andrew Hudgins,OL:OL34381078W,Top Ten Books,10,
Andrew Hudgins,OL:OL93082W,Top Ten Books,3,
Andrew Solomon,OL:OL1190289W,Guardian Top 100,4,Author
Andrew Solomon,OL:OL1636262W,Guardian Top 100,6,Author
Andrew Solomon,OL:OL20867W,Guardian Top 100,3,Author
Andrew Solomon,OL:OL20933W,Guardian Top 100,9,Author
Andrew Solomon,OL:OL267171W,Guardian Top 100,2,Author
Andrew Solomon,OL:OL276365W,Guardian Top 100,5,Author
Andrew Solomon,OL:OL39396W,Guardian Top 100,1,Author
Andrew Solomon,OL:OL66562W,Guardian Top 100,10,Author
Andrew Solomon,OL:OL88881W,Guardian Top 100,7,Author
Andrew Solomon,OL:OL98587W,Guardian Top 100,8,Author
Anita Shreve,K:19f63e640608,Top Ten Books,6,
Anita Shreve,K:2ba7f9e2d3da,Top Ten Books,5,
Anita Shreve,K:8af39279a369,Top Ten Books,7,
Anita Shreve,K:a3fdf9ab88d1,Top Ten Books,10,
Anita Shreve,K:adfba3021149,Top Ten Books,8,
Anita Shreve,K:af9b5d2a92ca,Top Ten Books,4,
Anita Shreve,K:d9e576e5e9b8,Top Ten Books,9,
Anita Shreve,OL:OL103066W,Top Ten Books,1,
Anita Shreve,OL:OL1993508W,Top Ten Books,2,
Anita Shreve,OL:OL455305W,Top Ten Books,3,
Ann Patchett,K:42fc701268b1,Top Ten Books,10,
Ann Patchett,K:f5a6ea3da198,Top Ten Books,8,
Ann Patchett,OL:OL14866824W,Top Ten Books,4,
Ann Patchett,OL:OL1503886W,Top Ten Books,6,
Ann Patchett,OL:OL267096W,Top Ten Books,1,
Ann Patchett,OL:OL274505W,Top Ten Books,2,
Ann Patchett,OL:OL34381078W,Top Ten Books,5,
Ann Patchett,OL:OL40756300W,Top Ten Books,9,
Ann Patchett,OL:OL509889W,Top Ten Books,7,
Ann Patchett,OL:OL627084W,Top Ten Books,3,
Anne Enright,OL:OL102749W,Guardian Top 100,4,Author
Anne Enright,OL:OL1190289W,Guardian Top 100,3,Author
Anne Enright,OL:OL1858668W,Guardian Top 100,8,Author
Anne Enright,OL:OL19350876W,Guardian Top 100,5,Author
Anne Enright,OL:OL274518W,Guardian Top 100,7,Author
Anne Enright,OL:OL482454W,Guardian Top 100,10,Author
Anne Enright,OL:OL50548W,Guardian Top 100,2,Author
Anne Enright,OL:OL509889W,Guardian Top 100,9,Author
Anne Enright,OL:OL675783W,Guardian Top 100,6,Author
Anne Enright,OL:OL86318W,Guardian Top 100,1,Author
Annie Proulx,K:0b6de2d1f716,Top Ten Books,3,
Annie Proulx,K:0cedd0859856,Top Ten Books,8,
Annie Proulx,K:5e6a219f1f98,Top Ten Books,2,
Annie Proulx,K:7218170b4f39,Top Ten Books,10,
Annie Proulx,K:93dc6897f134,Top Ten Books,4,
Annie Proulx,K:bbf3fa01dd65,Top Ten Books,7,
Annie Proulx,K:bc4aa7549271,Top Ten Books,6,
Annie Proulx,K:d99a5155c78c,Top Ten Books,9,
Annie Proulx,K:de8ae851971a,Top Ten Books,1,
Annie Proulx,OL:OL676009W,Top Ten Books,5,
Anthony Walton,K:77a9e9d519f7,Top Ten Books,1,
Anthony Walton,K:a66bfb050c76,Top Ten Books,2,
Anthony Walton,K:ee34a6c50dbf,Top Ten Books,8,
Anthony Walton,K:fbe28ea907ef,Top Ten Books,9,
Anthony Walton,OL:OL103095W,Top Ten Books,7,
Anthony Walton,OL:OL1190289W,Top Ten Books,5,
Anthony Walton,OL:OL166894W,Top Ten Books,4,
Anthony Walton,OL:OL19350876W,Top Ten Books,3,
Anthony Walton,OL:OL34381078W,Top Ten Books,6,
Anthony Walton,OL:OL495470W,Top Ten Books,10,
Arifa Akbar,OL:OL1168083W,Guardian Top 100,7,Journalist
Arifa Akbar,OL:OL15196311W,Guardian Top 100,6,Journalist
Arifa Akbar,OL:OL16246083W,Guardian Top 100,4,Journalist
Arifa Akbar,OL:OL21170W,Guardian Top 100,1,Journalist
Arifa Akbar,OL:OL267096W,Guardian Top 100,2,Journalist
Arifa Akbar,OL:OL26860869W,Guardian Top 100,3,Journalist
Arifa Akbar,OL:OL50548W,Guardian Top 100,5,Journalist
Arifa Akbar,OL:OL675783W,Guardian Top 100,10,Journalist
Arifa Akbar,OL:OL697431W,Guardian Top 100,8,Journalist
Arifa Akbar,OL:OL74666W,Guardian Top 100,9,Journalist
Arthur Golden,K:57af164fa280,Top Ten Books,8,
Arthur Golden,K:980abe074752,Top Ten Books,1,
Arthur Golden,K:bbf3fa01dd65,Top Ten Books,9,
Arthur Golden,OL:OL1337129W,Top Ten Books,6,
Arthur Golden,OL:OL134601W,Top Ten Books,7,
Arthur Golden,OL:OL3335245W,Top Ten Books,5,
Arthur Golden,OL:OL44222301W,Top Ten Books,3,
Arthur Golden,OL:OL53908W,Top Ten Books,10,
Arthur Golden,OL:OL627084W,Top Ten Books,2,
Arthur Golden,OL:OL7982392W,Top Ten Books,4,
Arthur Phillips,K:22d8a45acf9c,Top Ten Books,9,
Arthur Phillips,K:655dc7057956,Top Ten Books,1,
Arthur Phillips,K:6b584d1b9428,Top Ten Books,8,
Arthur Phillips,K:de8ae851971a,Top Ten Books,10,
Arthur Phillips,K:fbe28ea907ef,Top Ten Books,5,
Arthur Phillips,OL:OL1190289W,Top Ten Books,6,
Arthur Phillips,OL:OL14866824W,Top Ten Books,3,
Arthur Phillips,OL:OL1715276W,Top Ten Books,2,
Arthur Phillips,OL:OL267171W,Top Ten Books,7,
Arthur Phillips,OL:OL627081W,Top Ten Books,4,
Ayelet Waldman,K:02b36d7b19db,Top Ten Books,7,
Ayelet Waldman,K:23e11cce9bf8,Top Ten Books,6,
Ayelet Waldman,K:44a6e161192f,Top Ten Books,3,
Ayelet Waldman,K:c157e7e9d2a1,Top Ten Books,2,
Ayelet Waldman,K:e544d536217c,Top Ten Books,5,
Ayelet Waldman,OL:OL119436W,Top Ten Books,10,
Ayelet Waldman,OL:OL14868508W,Top Ten Books,9,
Ayelet Waldman,OL:OL40756300W,Top Ten Books,1,
Ayelet Waldman,OL:OL4112928W,Top Ten Books,8,
Ayelet Waldman,OL:OL457179W,Top Ten Books,4,
Barry Hannah,K:3b04f3eef439,Top Ten Books,4,
Barry Hannah,K:3dfab6fbfe3b,Top Ten Books,7,
Barry Hannah,K:5f7b8a8855e8,Top Ten Books,9,
Barry Hannah,OL:OL10432709W,Top Ten Books,1,
Barry Hannah,OL:OL1230613W,Top Ten Books,3,
Barry Hannah,OL:OL267171W,Top Ten Books,10,
Barry Hannah,OL:OL40879W,Top Ten Books,5,
Barry Hannah,OL:OL53908W,Top Ten Books,6,
Barry Hannah,OL:OL62979W,Top Ten Books,8,
Barry Hannah,OL:OL82929W,Top Ten Books,2,
Barry Unsworth,K:39ac4c40de96,Top Ten Books,8,
Barry Unsworth,K:77a9e9d519f7,Top Ten Books,1,
Barry Unsworth,K:86720a12eae7,Top Ten Books,9,
Barry Unsworth,K:f5c99485bebc,Top Ten Books,10,
Barry Unsworth,OL:OL14868508W,Top Ten Books,3,
Barry Unsworth,OL:OL166973W,Top Ten Books,5,
Barry Unsworth,OL:OL19350876W,Top Ten Books,4,
Barry Unsworth,OL:OL20938W,Top Ten Books,2,
Barry Unsworth,OL:OL23205W,Top Ten Books,7,
Barry Unsworth,OL:OL644386W,Top Ten Books,6,
Bebe Moore Campbell,K:30993508b211,Top Ten Books,2,
Bebe Moore Campbell,K:aad10973ad30,Top Ten Books,9,
Bebe Moore Campbell,OL:OL102749W,Top Ten Books,7,
Bebe Moore Campbell,OL:OL19350876W,Top Ten Books,6,
Bebe Moore Campbell,OL:OL267096W,Top Ten Books,10,
Bebe Moore Campbell,OL:OL273644W,Top Ten Books,8,
Bebe Moore Campbell,OL:OL3335245W,Top Ten Books,1,
Bebe Moore Campbell,OL:OL495470W,Top Ten Books,5,
Bebe Moore Campbell,OL:OL50548W,Top Ten Books,4,
Bebe Moore Campbell,OL:OL50564W,Top Ten Books,3,
Beejay Silcox,OL:OL1168083W,Guardian Top 100,5,
Beejay Silcox,OL:OL20893680W,Guardian Top 100,9,
Beejay Silcox,OL:OL2163649W,Guardian Top 100,6,
Beejay Silcox,OL:OL26860869W,Guardian Top 100,2,
Beejay Silcox,OL:OL35623W,Guardian Top 100,10,
Beejay Silcox,OL:OL37582070W,Guardian Top 100,1,
Beejay Silcox,OL:OL59038W,Guardian Top 100,3,
Beejay Silcox,OL:OL59800W,Guardian Top 100,7,
Beejay Silcox,OL:OL675783W,Guardian Top 100,4,
Beejay Silcox,OL:OL81618W,Guardian Top 100,8,
Ben Marcus,K:1b84fbb9cd5b,Top Ten Books,7,
Ben Marcus,K:3b04f3eef439,Top Ten Books,10,
Ben Marcus,K:a18626111ae6,Top Ten Books,8,
Ben Marcus,K:addeb3f5ad0c,Top Ten Books,2,
Ben Marcus,K:b71de4b4c34d,Top Ten Books,5,
Ben Marcus,K:daa94665cde4,Top Ten Books,9,
Ben Marcus,K:de8ae851971a,Top Ten Books,3,
Ben Marcus,OL:OL166894W,Top Ten Books,1,
Ben Marcus,OL:OL39316W,Top Ten Books,6,
Ben Marcus,OL:OL498463W,Top Ten Books,4,
Ben Markovits,OL:OL1103093W,Guardian Top 100,4,Author
Ben Markovits,OL:OL20867W,Guardian Top 100,7,Author
Ben Markovits,OL:OL276365W,Guardian Top 100,6,Author
Ben Markovits,OL:OL39396W,Guardian Top 100,9,Author
