canonical_id,canonical_title,canonical_author,canonical_year,n_rows,n_voters,source_olids,derived_from
OL:OL2386322W,The Leopard,Giuseppe Tomasi di Lampedusa,1958,10,10,OL2386322W;OL43043476W,olid_anchor
OL:OL27778127W,Their Eyes Were Watching God,Zora Neale Hurston,1937,10,10,OL27778127W,olid_anchor
OL:OL464512W,Wolf Hall,Hilary Mantel,2009,10,10,OL464512W,olid_anchor
OL:OL1052133W,The God of Small Things,Arundhati Roy,1997,10,10,OL1052133W,olid_anchor
OL:OL62979W,The Sun Also Rises,Ernest Hemingway,1926,9,9,OL62979W,olid_anchor
OL:OL98459W,Slaughterhouse-Five,Kurt Vonnegut,1969,9,9,OL98459W,olid_anchor
OL:OL12791W,My Ántonia,Willa Cather,1918,9,9,OL12791W,olid_anchor
OL:OL3335245W,The Catcher in the Rye,J. D. Salinger,1951,9,9,OL3335245W,olid_anchor
OL:OL93082W,The Divine Comedy,Dante Alighieri,1321,9,9,OL93082W,olid_anchor
OL:OL103066W,The Transit of Venus,Shirley Hazzard,1980,9,9,OL103066W;OL11069133W,olid_anchor
OL:OL1875010W,Housekeeping,Marilynne Robinson,1980,9,9,OL1875010W,olid_anchor
OL:OL500451W,Disgrace,JM Coetzee,1999,9,9,OL500451W,olid_anchor
OL:OL31259W,The Golden Notebook,Doris Lessing,1962,9,9,OL31259W,olid_anchor
OL:OL468485W,Tender Is the Night,F. Scott Fitzgerald,1934,8,8,OL468485W,olid_anchor
OL:OL676009W,The Master and Margarita,Mikhail Bulgakov,1966,8,8,OL676009W,olid_anchor
OL:OL82929W,As I Lay Dying,William Faulkner,1930,8,8,OL82929W,olid_anchor
OL:OL39316W,The Waves,Virginia Woolf,1931,8,8,OL39316W,olid_anchor
OL:OL41368739W,Our Mutual Friend,Charles Dickens,,9,8,OL41368739W,olid_anchor
OL:OL88881W,Howards End,EM Forster,1910,8,8,OL88881W,olid_anchor
OL:OL26099415W,The Golden Bowl,Henry James,1904,8,8,OL26099415W;OL276338W,olid_anchor
OL:OL1858668W,Wide Sargasso Sea,Jean Rhys,1966,7,7,OL1858668W,olid_anchor
OL:OL274518W,Love in the Time of Cholera,Gabriel García Márquez,1985,8,7,OL274518W,olid_anchor
K:a63cc765d5fe,Stories of John Cheever,,,1,7,,title_author_exact
K:ef3be8623dfc,Stories of Isaac Babel,,,1,7,,title_author_exact
OL:OL67334W,The Tin Drum,Günter Grass,1959,7,7,OL67334W,olid_anchor
OL:OL98587W,The House of Mirth,Edith Wharton,1905,8,7,OL98587W,olid_anchor
OL:OL455305W,The Scarlet Letter,Nathaniel Hawthorne,1850,7,7,OL455305W,olid_anchor
OL:OL273644W,The Color Purple,Alice Walker,1982,7,7,OL273644W,olid_anchor
OL:OL276798W,Catch-22,Joseph Heller,1962,7,7,OL276798W,olid_anchor
OL:OL103113W,A House for Mr Biswas,VS Naipaul,1961,7,7,OL103113W;OL43348070W,olid_anchor
OL:OL74666W,American Pastoral,Philip Roth,1997,7,7,OL74666W,olid_anchor
OL:OL498556W,The Metamorphosis,Franz Kafka,1915,7,7,OL498556W,olid_anchor
OL:OL2980902W,A Fine Balance,Rohinton Mistry,1995,7,7,OL2980902W,olid_anchor
OL:OL16520879W,My Brilliant Friend,Elena Ferrante,2011,7,7,OL16520879W,olid_anchor
OL:OL228702W,Giovanni's Room,James Baldwin,1956,7,7,OL228702W,olid_anchor
OL:OL4112928W,The Known World,Edward P. Jones,2003,6,6,OL4112928W,olid_anchor
OL:OL733640W,The Red and the Black,Stendhal,1830,6,6,OL733640W,olid_anchor
OL:OL501911W,Revolutionary Road,Richard Yates,1961,6,6,OL501911W,olid_anchor
K:d3e96a7e3439,The Canterbury Tales,Geoffrey Chaucer,,6,6,,title_author_exact
OL:OL20600W,Gulliver's Travels,Jonathan Swift,,6,6,OL20600W,olid_anchor
OL:OL82931W,Light in August,William Faulkner,1932,7,6,OL82931W,olid_anchor
OL:OL668682W,The Makioka Sisters,Junichiro Tanizaki,,6,6,OL668682W,olid_anchor
OL:OL46611W,The Rings of Saturn,WG Sebald,1995,6,6,OL46611W,olid_anchor
K:1953ba5c8e84,Dead Souls,Nikolai Gogol,1842,6,6,,title_author_exact
OL:OL46615W,Austerlitz,WG Sebald,2001,6,6,OL46615W,olid_anchor
OL:OL44986W,Jude the Obscure,Thomas Hardy,1895,6,6,OL44986W,olid_anchor
OL:OL14867081W,Buddenbrooks,Thomas Mann,1901,6,6,OL14867081W,olid_anchor
OL:OL66530W,Mansfield Park,Jane Austen,1814,6,6,OL66530W,olid_anchor
K:4d4b9f43727e,All the King's Men,Robert Penn Warren,1946,5,5,,title_author_exact
K:655dc7057956,Stories of Franz Kafka,,,1,5,,title_author_exact
OL:OL81293W,The Rainbow,DH Lawrence,1915,5,5,OL81293W,olid_anchor
K:86720a12eae7,Stories of Eudora Welty,,,1,5,,title_author_exact
OL:OL43041145W,A Passage to India,E. M. Forster,1924,5,5,OL43041145W;OL88809W,olid_anchor
K:addeb3f5ad0c,Macbeth,William Shakespeare,1606,5,5,,title_author_exact
K:7d6f4598f836,Paradise Lost,John Milton,1667,5,5,,title_author_exact
OL:OL2074162W,A Dance to the Music of Time,Anthony Powell,,5,5,OL2074162W,olid_anchor
OL:OL466942W,The Radetzky March,Joseph Roth,1932,5,5,OL466942W,olid_anchor
OL:OL27217159W,Robinson Crusoe,Daniel Defoe,1719,5,5,OL27217159W;OL33177088W;OL45089W,olid_anchor
OL:OL1993508W,The Line of Beauty,Alan Hollinghurst,2004,5,5,OL1993508W,olid_anchor
OL:OL509919W,Parade's End,Ford Madox Ford,1928,5,5,OL509919W,olid_anchor
OL:OL15400582W,The Big Sleep,Raymond Chandler,1939,5,5,OL15400582W,olid_anchor
OL:OL27448W,The Lord of the Rings,J.R.R. Tolkien,,5,5,OL27448W,olid_anchor
OL:OL59434W,The Talented Mr Ripley,Patricia Highsmith,1955,5,5,OL59434W,olid_anchor
OL:OL20933W,Daniel Deronda,George Eliot,,5,5,OL20933W,olid_anchor
OL:OL118986W,Germinal,Émile Zola,1884,5,5,OL118986W,olid_anchor
OL:OL106084W,The Power and the Glory,Graham Greene,1940,5,5,OL106084W,olid_anchor
OL:OL228705W,Go Tell It on the Mountain,James Baldwin,1953,5,5,OL228705W,olid_anchor
OL:OL44927W,Tess of the D'urbervilles,Thomas Hardy,1891,5,5,OL44927W,olid_anchor
