canonical_id,canonical_title,canonical_director,resolved_year,n_rows,vote_count
F:b2910882a46d,A Matter of Life and Death,"Michael Powell, Emeric Pressburger",1946,42,42
F:f87b3c091815,Tropical Malady,Apichatpong Weerasethakul,2004,42,42
F:c34fe68dc6cf,Ugetsu Monogatari,Kenji Mizoguchi,1953,42,42
F:c41986eabc20,My Neighbour Totoro,Hayao Miyazaki,1988,42,42
F:6ef9ec2a60f2,The Shining,Stanley Kubrick,1980,41,41
F:f487433720d3,La Maman et la Putain,Jean Eustache,1973,41,41
F:b0360159539e,Parasite,Bong Joon-ho,2019,41,41
F:002c591e702f,Yi Yi,Edward Yang,1999,41,41
F:7a7c0ff849d4,Histoire(s) du Cinéma,Jean-Luc Godard,1988,40,40
F:4e2bc3c14baa,Céline and Julie Go Boating,Jacques Rivette,1974,40,40
F:23bcdf10e622,Don't Look Now,Nicolas Roeg,1973,40,40
F:71c7b9363133,Jaws,Steven Spielberg,1975,40,40
F:b7dbf64232a8,Sansho the Bailiff,Kenji Mizoguchi,1954,39,39
F:5094c1da4d65,Pierrot le fou,Jean-Luc Godard,1965,39,39
F:1961bdb691aa,Black Girl,Ousmane Sembène,1965,38,38
F:078c56f7dec6,The Leopard,Luchino Visconti,1963,38,38
F:2907bfe31ad2,Wild Strawberries,Ingmar Bergman,1957,38,38
F:2b8f2194d907,Chungking Express,Wong Kar Wai,1994,37,37
F:4996e9b10df0,Madame de...,Max Ophuls,1953,37,37
F:ed09733fe458,The Conformist,Bernardo Bertolucci,1970,35,35
F:8703270231ee,Fanny and Alexander,Ingmar Bergman,1982,35,35
F:76f8cccf860c,Touch of Evil,Orson Welles,1958,35,35
F:f5b23bc11b1d,The General,"Buster Keaton, Clyde Bruckman",1926,35,35
F:caabee7db5c9,The House Is Black,Forough Farokhzad,1962,35,35
F:6153eeb1ef64,Nashville,Robert Altman,1975,35,35
F:31e3a3512a76,The Colour of Pomegranates,Sergei Paradjanov,1968,34,34
F:d5d45d8c9f1b,Rio Bravo,Howard Hawks,1958,34,34
F:69dee05125cb,The Ascent,Larissa Shepitko,1976,34,34
F:87ddccd7c29d,The Man Who Shot Liberty Valance,John Ford,1962,33,33
F:cbca9660da1d,Lawrence of Arabia,David Lean,1962,33,33
F:2da4899c687b,La ciénaga,Lucrecia Martel,2001,32,32
F:8481529aa9c4,To Be or Not to Be,Ernst Lubitsch,1942,32,32
F:41d225e6ff0b,There Will Be Blood,Paul Thomas Anderson,2007,31,31
F:f8abdb2ec9d8,Get Out,Jordan Peele,2017,31,31
F:93a1beda19cd,Pulp Fiction,Quentin Tarantino,1994,31,31
F:146ec1241d81,"Aguirre, Wrath of God",Werner Herzog,1972,31,31
F:ef28514dc4e7,The Texas Chain Saw Massacre,Tobe Hooper,1974,31,31
F:cf4f8f54b4df,"Goodbye, Dragon Inn",Tsai Ming-liang,2003,31,31
F:cdb76db94f02,The Seventh Seal,Ingmar Bergman,1957,31,31
F:b5fac1879322,The Wizard of Oz,Victor Fleming,1939,31,31
F:1c8565784f6c,Chinatown,Roman Polanski,1974,30,30
F:9e103f641ac9,Pickpocket,Robert Bresson,1959,30,30
F:28d41c264f9a,The Umbrellas of Cherbourg,Jacques Demy,1964,30,30
F:6ae8c10ff551,It's a Wonderful Life,Frank Capra,1947,30,30
F:2af5c5bcacdf,Bringing Up Baby,Howard Hawks,1938,30,30
F:57a1bf06a3b8,The Matrix,The Wachowskis,1999,28,28
F:d2e4f5e8f98d,Only Angels Have Wings,Howard Hawks,1939,28,28
F:951e168add74,Where Is the Friend's House?,Abbas Kiarostami,1987,28,28
F:e50615c80a64,Ikiru,Akira Kurosawa,1952,28,28
F:74869694acb1,The Thing,John Carpenter,1982,28,28
F:3779236f3701,Alien,Ridley Scott,1979,28,28
F:ca0238bc4718,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,1963,28,28
F:84fa7c2219d2,His Girl Friday,Howard Hawks,1939,27,27
F:15cebbda1cd1,Gertrud,Carl Th. Dreyer,1964,27,27
F:1232574daf78,L'Argent,Robert Bresson,1983,27,27
F:fbfc282cbfbb,The Wild Bunch,Sam Peckinpah,1969,27,27
F:6ff93b77cfca,La strada,Federico Fellini,1954,26,26
