canonical_id,title,author,source_olids,raw_year,gap_reason,year
OL:OL16805415W,Americanah,Chimamanda Ngozi Adichie,OL16805415W,,truly-blank,
OL:OL3846785W,Amongst Women,John McGahern,OL3846785W,,truly-blank,
OL:OL471565W,And Then There Were None,Agatha Christie,OL471565W,,truly-blank,
OL:OL2435538W,Angel,Elizabeth Taylor,OL2435538W,,truly-blank,
OL:OL1168007W,Animal Farm,George Orwell,OL1168007W,,truly-blank,
OL:OL77746W,Anne of Green Gables,Lucy Maud Montgomery,OL77746W,,truly-blank,
OL:OL891814W,Arrow of God,Chinua Achebe,OL891814W,,truly-blank,
OL:OL2883788W,Arturo's Island,Elsa Morante,OL2883788W,,truly-blank,
OL:OL25687457W,Aubrey-Maturin Series,Patrick O'Brian,OL25687457W,,truly-blank,
OL:OL35997793W,Aunt Julia and the Script-Writer,Mario Vargas Llosa,OL35997793W,,truly-blank,
OL:OL109724W,Barchester Towers,Anthony Trollope,OL109724W;OL41656231W,,truly-blank,
OL:OL5280446W,Bear,Marian Engel,OL5280446W,,truly-blank,
OL:OL28856510W,Bee Sting,Paul Murray,OL28856510W,,truly-blank,
K:db109b1e87a7,Bhagavadgita,,,,truly-blank,
OL:OL27853003W,Big Swiss,Jen Beagin,OL27853003W,,truly-blank,
OL:OL27420W,Blindness,José Saramago,OL27420W,,truly-blank,
OL:OL14857300W,Boredom,Alberto Moravia,OL14857300W,,truly-blank,
OL:OL501810W,Breath,Tim Winton,OL501810W,,truly-blank,
OL:OL547745W,Bridget Jones's Diary,Helen Fielding,OL547745W,,truly-blank,
OL:OL16547664W,Bring up the Bodies,Hilary Mantel,OL16547664W,,truly-blank,
K:3dff16151b37,Burning Your Boats: The Collected Short Stories,Angela Carter,,,truly-blank,
OL:OL35358393W,By Grand Central Station I Sat Down and Wept,Elizabeth Smart,OL35358393W,,truly-blank,
OL:OL712021W,By Night in Chile,Roberto Bolaño,OL712021W,,truly-blank,
OL:OL3958400W,By the Sea,Abdulrazak Gurnah,OL3958400W,,truly-blank,
OL:OL23199W,Cannery Row,John Steinbeck,OL23199W,,truly-blank,
OL:OL37487420W,Cartucho,Nellie Campobello,OL37487420W,,truly-blank,
OL:OL98454W,Cat's Cradle,Kurt Vonnegut,OL98454W,,truly-blank,
OL:OL10429255W,Caught,Henry Green,OL10429255W,,truly-blank,
OL:OL1184871W,Chéri,Colette,OL1184871W,,truly-blank,
OL:OL17062866W,Citizen,Claudia Rankine,OL17062866W,,truly-blank,
OL:OL482454W,Cloud Atlas,David Mitchell,OL482454W,,truly-blank,
OL:OL27442749W,Cloudstreet,Tim Winton,OL27442749W,,truly-blank,
OL:OL12104489W,Coming Through Slaughter,Michael Ondaatje,OL12104489W,,truly-blank,
OL:OL19663905W,Commonwealth,Ann Patchett,OL19663905W,,truly-blank,
OL:OL1845165W,Confessions of a Mask,Yukio Mishima,OL1845165W,,truly-blank,
OL:OL857552W,Conversation in the Cathedral,Mario Vargas Llosa,OL857552W,,truly-blank,
OL:OL1103093W,Cranford,Elizabeth Gaskell,OL1103093W,,truly-blank,
OL:OL24141556W,Crooked Plow,Itamar Vieira Junior,OL24141556W,,truly-blank,
OL:OL45865W,Danny the Champion of the World,Roald Dahl,OL45865W,,truly-blank,
OL:OL13632840W,Darkmans,Nicola Barker,OL13632840W,,truly-blank,
OL:OL27052926W,Demon Copperhead,Barbara Kingsolver,OL27052926W,,truly-blank,
