canonical_id,title,author,source_olids,raw_year,gap_reason,year
OL:OL55238W,The Book of Daniel,E. L. Doctorow,OL55238W,,truly-blank,
K:b38daef16aea,The Book of Mark.,,,,truly-blank,
OL:OL13648915W,The Book of Night Women,Marlon James,OL13648915W,,truly-blank,
OL:OL258416W,The Bridge on the Drina,Ivo Andrić,OL258416W,,truly-blank,
OL:OL16032925W,The Buddha of Suburbia,Hanif Kureishi,OL16032925W;OL921378W,,truly-blank,
OL:OL60979W,The Busconductor Hines,James Kelman,OL60979W,,truly-blank,
K:d3e96a7e3439,The Canterbury Tales,Geoffrey Chaucer,,,truly-blank,
OL:OL1855887W,The Child in Time,Ian McEwan,OL1855887W,,truly-blank,
OL:OL8026340W,The Cider House Rules,John Irving,OL8026340W,,truly-blank,
OL:OL19341943W,The City & the City,China Miéville,OL19341943W,,truly-blank,
OL:OL1337126W,The Code of the Woosters,P. G. Wodehouse,OL1337126W,,truly-blank,
OL:OL15008W,The Collector,John Fowles,OL15008W,,truly-blank,
OL:OL33658345W,The Coming Bad Days,Sarah Bernstein,OL33658345W,,truly-blank,
K:326fa432a334,The Conference of the Birds,Farid ud,,,truly-blank,
OL:OL69271W,The Country Girls,Edna O'Brien,OL69271W,,truly-blank,
OL:OL67238W,The Country of the Pointed Firs,Sarah Orne Jewett,OL67238W,,truly-blank,
OL:OL35730490W,The Dark Is Rising,Susan Cooper,OL35730490W;OL894245W,,truly-blank,
OL:OL1806976W,The Dew Breaker,Edwidge Danticat,OL1806976W,,truly-blank,
OL:OL671818W,The Dirty Dust,Máirtín Ó Cadhain,OL671818W,,truly-blank,
OL:OL19740451W,The Discomfort of Evening,Lucas Rijneveld,OL19740451W,,truly-blank,
OL:OL59863W,The Dispossessed,Ursula K. Le Guin,OL59863W,,truly-blank,
OL:OL17363016W,The Emperor's Babe,Bernardine Evaristo,OL17363016W,,truly-blank,
OL:OL25803688W,The Employees,Olga Ravn,OL25803688W,,truly-blank,
OL:OL4100647W,The Empty Book,Josefina Vicens,OL4100647W,,truly-blank,
OL:OL53071W,The English Patient,Michael Ondaatje,OL53071W,,truly-blank,
OL:OL41078W,The Fall of the House of Usher,Edgar Allan Poe,OL41078W,,truly-blank,
OL:OL7922785W,The Fish Can Sing,Halldór Laxness,OL7922785W,,truly-blank,
OL:OL33658335W,"The Fortnight in September,",R. C. Sherriff,OL33658335W,,truly-blank,
OL:OL136820W,The Garden of the Finzi-Continis,Giorgio Bassani,OL136820W,,truly-blank,
OL:OL5869525W,The Gathering,Anne Enright,OL5869525W,,truly-blank,
OL:OL26435W,The Girls of Slender Means,Muriel Spark,OL26435W;OL43044532W,,truly-blank,
K:5f36c5d443e5,The Golden Argosy,"Van H. Cartmell & Charles Grayson, editors",,,truly-blank,
OL:OL11927W,The Golden Gate,Vikram Seth,OL11927W,,truly-blank,
OL:OL16809803W,The Goldfinch,Donna Tartt,OL16809803W,,truly-blank,
K:fc55a5b4798e,The Good Soldier Svejk,Jaroslav Hasek,,,truly-blank,
OL:OL2916988W,The Gormenghast Novels,Mervyn Peake,OL2916988W,,truly-blank,
OL:OL31256W,The Grass Is Singing,Doris Lessing,OL31256W,,truly-blank,
OL:OL17625869W,The Green Road,Anne Enright,OL17625869W,,truly-blank,
OL:OL3171069W,The Haunting of Hill House,Shirley Jackson,OL3171069W,,truly-blank,
OL:OL863735W,The Heart of Midlothian,Walter Scott,OL863735W,,truly-blank,
OL:OL2163649W,The Hitch Hiker's Guide to the Galaxy,Douglas Adams,OL2163649W,,truly-blank,
OL:OL27482W,The Hobbit,J.R.R. Tolkien,OL27482W,,truly-blank,
OL:OL1930756W,The Hounds of the Morrigan,Pat O'Shea,OL1930756W,,truly-blank,
OL:OL1905255W,The House of the Spirits,Isabel Allende,OL1905255W,,truly-blank,
K:045ff572e567,The I Ching (Book of Changes),,,,truly-blank,
OL:OL12996734W,The Ice Palace,Tarjei Vesaas,OL12996734W,,truly-blank,
OL:OL10987860W,The Improvement of Human Reason,Ibn Tufayl,OL10987860W,,truly-blank,
OL:OL16846W,The Information,Martin Amis,OL16846W,,truly-blank,
OL:OL166496W,The Inverted World,Christopher Priest,OL166496W,,truly-blank,
OL:OL11294796W,The Journal of Albion Moonlight,Kenneth Patchen,OL11294796W,,truly-blank,
OL:OL2504658W,The Joys of Motherhood,Buchi Emecheta,OL2504658W,,truly-blank,
OL:OL221348W,The Last Samurai,Helen Dewitt,OL221348W,,truly-blank,
OL:OL20026655W,The Lie Tree,Frances Hardinge,OL20026655W,,truly-blank,
OL:OL2824299W,The Light Years,Elizabeth Jane Howard,OL2824299W,,truly-blank,
OL:OL42397165W,The Loneliness of Sonia and Sunny,Kiran Desai,OL42397165W,,truly-blank,
OL:OL3198244W,The Lonely Londoners,Samuel Selvon,OL3198244W,,truly-blank,
OL:OL2824324W,The Long View,Elizabeth Jane Howard,OL2824324W,,truly-blank,
OL:OL16810597W,The Luminaries,Eleanor Catton,OL16810597W,,truly-blank,
OL:OL697437W,The Magic Toyshop,Angela Carter,OL697437W,,truly-blank,
OL:OL14861980W,The Man Who Planted Trees,Jean Giono,OL14861980W,,truly-blank,
OL:OL34388805W,The Maniac,Benjamín Labatut,OL34388805W,,truly-blank,
OL:OL11690127W,The Memory Police,Yoko Ogawa,OL11690127W,,truly-blank,
OL:OL1888776W,The Millstone,Margaret Drabble,OL1888776W,,truly-blank,
OL:OL20665410W,The Mirror and the Light,Hilary Mantel,OL20665410W,,truly-blank,
OL:OL13116995W,The Monk,Matthew Gregory Lewis,OL13116995W,,truly-blank,
OL:OL19670981W,The Moor's Account,Laila Lalami,OL19670981W,,truly-blank,
OL:OL471932W,The Murder of Roger Ackroyd,Agatha Christie,OL471932W,,truly-blank,
OL:OL8996439W,The Name of the Rose,Umberto Eco,OL8996439W,,truly-blank,
OL:OL1921184W,The Names,Don DeLillo,OL1921184W,,truly-blank,
OL:OL17764501W,The Noise of Time,Julian Barnes,OL17764501W,,truly-blank,
OL:OL2718328W,The Outsiders,S. E. Hinton,OL2718328W,,truly-blank,
OL:OL43115667W,The Palliser Novels,Anthony Trollope,OL43115667W,,truly-blank,
OL:OL1002138W,The Passion According to G.h.,Clarice Lispector,OL1002138W,,truly-blank,
OL:OL16142488W,The Patrick Melrose Novels,Edward St Aubyn,OL16142488W,,truly-blank,
OL:OL1636262W,The Phantom Tollbooth,Norton Juster,OL1636262W,,truly-blank,
OL:OL15196311W,The Piano Teacher,Elfriede Jelinek,OL15196311W,,truly-blank,
OL:OL107195W,The Pilgrim's Progress,John Bunyan,OL107195W,,truly-blank,
OL:OL3128704W,The Plains,Gerald Murnane,OL3128704W,,truly-blank,
K:311923238ca3,The Plot Against America,Philip Roth,,,truly-blank,
K:efb5a50a426d,The Prelude,William Wordsworth,,,truly-blank,
OL:OL2233736W,The Pursuit of Love,Nancy Mitford,OL2233736W,,truly-blank,
OL:OL505944W,The Razor's Edge,William Somerset Maugham,OL505944W,,truly-blank,
OL:OL627069W,The Real Life of Sebastian Knight,Vladimir Nabokov,OL627069W,,truly-blank,
OL:OL3412512W,The Recognitions,William Gaddis,OL3412512W,,truly-blank,
OL:OL1449843W,The Road to the City,Natalia Ginzburg,OL1449843W,,truly-blank,
OL:OL37572547W,The Safekeep,Yael van der Wouden,OL37572547W,,truly-blank,
OL:OL1326310W,"The Sea, the Sea",Iris Murdoch,OL1326310W,,truly-blank,
OL:OL4321141W,The Secret History,Donna Tartt,OL4321141W,,truly-blank,
OL:OL17616758W,The Sellout,Paul Beatty,OL17616758W,,truly-blank,
OL:OL456089W,The Shipping News,Annie Proulx,OL456089W,,truly-blank,
OL:OL2694535W,The Siege of Krishnapur,J. G. Farrell,OL2694535W,,truly-blank,
OL:OL2539795W,The Slap,Christos Tsiolkas,OL2539795W,,truly-blank,
OL:OL16509148W,The Song of Achilles,Madeline Miller,OL16509148W,,truly-blank,
OL:OL2066160W,The Spider's House,Paul Bowles,OL2066160W,,truly-blank,
OL:OL2085293W,The Spiral Ascent,Edward Upward,OL2085293W,,truly-blank,
OL:OL2465642W,The Sportswriter,Richard Ford,OL2465642W,,truly-blank,
OL:OL15723140W,The Spy Who Came in From the Cold,John le Carré,OL15723140W,,truly-blank,
OL:OL1863366W,The Story of Lucy Gault,William Trevor,OL1863366W,,truly-blank,
OL:OL7982392W,"The Story of the Stone, or the Dream of the Red Chamber",Cao Xueqin,OL7982392W,,truly-blank,
OL:OL48197W,The Street,Ann Petry,OL48197W,,truly-blank,
OL:OL2196010W,The Summer Book,Tove Jansson,OL2196010W,,truly-blank,
OL:OL1993499W,The Swimming-Pool Library,Alan Hollinghurst,OL1993499W,,truly-blank,
OL:OL466987W,The Tale of the 1002nd Night,Joseph Roth,OL466987W,,truly-blank,
OL:OL1437339W,The Tartar Steppe,Dino Buzzati,OL1437339W,,truly-blank,
OL:OL260101W,The Tenant of Wildfell Hall,Anne Brontë,OL260101W,,truly-blank,
OL:OL17434786W,The Thing About December,Donal Ryan,OL17434786W,,truly-blank,
OL:OL836970W,The Third Lie,Ágota Kristóf,OL836970W,,truly-blank,
OL:OL2005223W,The Third Policeman,Flann O'Brien,OL2005223W,,truly-blank,
OL:OL5846570W,The Translator,Leila Aboulela,OL5846570W,,truly-blank,
OL:OL24511712W,The Trees,Percival L. Everett,OL24511712W,,truly-blank,
OL:OL2535336W,The Trick Is to Keep Breathing,Janice Galloway,OL2535336W,,truly-blank,
OL:OL1999221W,The Tunnel,William H. Gass,OL1999221W,,truly-blank,
OL:OL1326349W,The Unicorn,Iris Murdoch,OL1326349W,,truly-blank,
OL:OL1184856W,The Vagabond,Colette,OL1184856W,,truly-blank,
OL:OL262505W,The Valley of Fear,Arthur Conan Doyle,OL262505W,,truly-blank,
OL:OL20799434W,The Vanishing Half,Brit Bennett,OL20799434W,,truly-blank,
OL:OL890896W,The Vicar of Wakefield,Oliver Goldsmith,OL890896W,,truly-blank,
OL:OL12126363W,The Waiting Years,Fumiko Enchi,OL12126363W,,truly-blank,
OL:OL52114W,The War of the Worlds,H. G. Wells,OL52114W,,truly-blank,
OL:OL109871W,The Way We Live Now,Anthony Trollope,OL109871W,,truly-blank,
OL:OL14861047W,The Wings of a Dove,Henry James,OL14861047W,,truly-blank,
OL:OL102389W,The Years,Annie Ernaux,OL102389W,,truly-blank,
OL:OL2772007W,The Yellow Wallpaper,Charlotte Perkins Gilman,OL2772007W,,truly-blank,
K:511f77d53adb,The legends of King Arthur and the Knights of the Round Table,,,,truly-blank,
OL:OL34173139W,Things We Lost in the Fire,Mariana Enriquez,OL34173139W,,truly-blank,
OL:OL1845327W,Thirst for Love,Yukio Mishima,OL1845327W,,truly-blank,
OL:OL1793164W,Three Men in a Boat,Jerome K. Jerome,OL1793164W,,truly-blank,
OL:OL7920206W,Titus Groan,Mervyn Peake,OL7920206W,,truly-blank,
OL:OL20642211W,"To Be Taught, If Fortunate",Becky Chambers,OL20642211W,,truly-blank,
OL:OL31098954W,Tom Lake,Ann Patchett,OL31098954W,,truly-blank,
OL:OL26004554W,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,OL26004554W,,truly-blank,
OL:OL42393484W,Tongues I,Anders Nilsen,OL42393484W,,truly-blank,
OL:OL11728724W,Too Loud a Solitude,Bohumil Hrabal,OL11728724W;OL25110842W,,truly-blank,
OL:OL10426441W,Towards the End of the Morning,Michael Frayn,OL10426441W,,truly-blank,
OL:OL816259W,Trainspotting,Irvine Welsh,OL816259W,,truly-blank,
OL:OL20044855W,Transit,Rachel Cusk,OL20044855W,,truly-blank,
OL:OL545415W,Tree of Smoke,Denis Johnson,OL545415W,,truly-blank,
OL:OL1940374W,Trilby,George du Maurier,OL1940374W,,truly-blank,
OL:OL11295370W,Trout Fishing in America,Richard Brautigan,OL11295370W,,truly-blank,
OL:OL1707638W,True History of the Kelly Gang,Peter Carey,OL1707638W,,truly-blank,
OL:OL27494639W,Under Milk Wood,Dylan Thomas,OL27494639W,,truly-blank,
OL:OL11221642W,Union Street,Pat Barker,OL11221642W,,truly-blank,
K:1d6d9be6aabe,Varieties of Religious Experience,William James,,,truly-blank,
OL:OL17343073W,Vernon Subutex 1,Virginie Despentes,OL17343073W,,truly-blank,
OL:OL1095403W,Villette,Charlotte Brontë,OL1095403W,,truly-blank,
OL:OL971643W,Visitation,Jenny Erpenbeck,OL971643W,,truly-blank,
OL:OL1858636W,Voyage in the Dark,Jean Rhys,OL1858636W,,truly-blank,
OL:OL2897798W,Watchmen,Alan Moore,OL2897798W,,truly-blank,
OL:OL3260491W,Waterland,Graham Swift,OL3260491W,,truly-blank,
OL:OL27847855W,We All Want Impossible Things,Catherine Newman,OL27847855W,,truly-blank,
OL:OL37832922W,We Have Always Lived in the Castle,Shirley Jackson,OL37832922W,,truly-blank,
OL:OL36045730W,Where We Come From,Oscar Casares,OL36045730W,,truly-blank,
OL:OL26414465W,Who Was Changed and Who Was Dead,Barbara Comyns,OL26414465W,,truly-blank,
OL:OL32028W,Who Will Run the Frog Hospital?,Lorrie Moore,OL32028W,,truly-blank,
K:6a405b4c5ae0,Whoroscope,,,,truly-blank,
OL:OL697431W,Wise Children,Angela Carter,OL697431W,,truly-blank,
OL:OL754948W,Wittgenstein's Mistress,David Markson,OL754948W,,truly-blank,
OL:OL20937995W,Women Talking,Miriam Toews,OL20937995W,,truly-blank,
OL:OL16142094W,Wonder,R. J. Palacio,OL16142094W,,truly-blank,
OL:OL26743128W,Zone,Mathias Enard,OL26743128W,,truly-blank,
