source,voter_name,position,book_title,book_author,year,source_url,voter_type,overall_rank,openLibraryId
Top Ten Books,George Pelecanos,5,A Fan’s Notes,Frederick Exley,1968,https://www.toptenbooks.net/George-Pelacanos,,,
Top Ten Books,George Pelecanos,6,The Long Goodbye,Raymond Chandler,1953,https://www.toptenbooks.net/George-Pelacanos,,,
Top Ten Books,George Pelecanos,7,True Grit,Charles Portis,1968,https://www.toptenbooks.net/George-Pelacanos,,,
Top Ten Books,George Pelecanos,8,Blood Meridian: Or the Evening Redness in the West,Cormac McCarthy,1985,https://www.toptenbooks.net/George-Pelacanos,,,
Top Ten Books,George Pelecanos,9,Clockers,Richard Price,1992,https://www.toptenbooks.net/George-Pelacanos,,,
Top Ten Books,George Pelecanos,10,The Known World,Edward P. Jones,2003,https://www.toptenbooks.net/George-Pelacanos,,,
Top Ten Books,Joyce Carol Oates,1,Crime and Punishment,Fyodor Dostoevsky,1866,https://www.toptenbooks.net/Joyce-Carol-Oates,,,
Top Ten Books,Joyce Carol Oates,2,Ulysses,James Joyce,1922,https://www.toptenbooks.net/Joyce-Carol-Oates,,,
Top Ten Books,Joyce Carol Oates,3,The Sound and the Fury,William Faulkner,1929,https://www.toptenbooks.net/Joyce-Carol-Oates,,,
Top Ten Books,Joyce Carol Oates,4,Poems of Emily Dickinson,,1830-86,https://www.toptenbooks.net/Joyce-Carol-Oates,,,
Top Ten Books,Joyce Carol Oates,5,Stories of Franz Kafka,,1883-1924,https://www.toptenbooks.net/Joyce-Carol-Oates,,,
Top Ten Books,Joyce Carol Oates,6,The Red and the Black,Stendhal,1830,https://www.toptenbooks.net/Joyce-Carol-Oates,,,
Top Ten Books,Joyce Carol Oates,7,The Rainbow,D. H. Lawrence,1915,https://www.toptenbooks.net/Joyce-Carol-Oates,,,
Top Ten Books,Joyce Carol Oates,8,Women in Love,D. H. Lawrence,1920,https://www.toptenbooks.net/Joyce-Carol-Oates,,,
Top Ten Books,Joyce Carol Oates,9,Moby-Dick,Herman Melville,1851,https://www.toptenbooks.net/Joyce-Carol-Oates,,,
Top Ten Books,Joyce Carol Oates,10,Adventures of Huckleberry Finn,Mark Twain,1884,https://www.toptenbooks.net/Joyce-Carol-Oates,,,
Top Ten Books,Kate Atkinson,1,Persuasion,Jane Austen,1817,https://www.toptenbooks.net/Kate-Atkinson,,,
Top Ten Books,Kate Atkinson,2,Alice's Adventures in Wonderland,Lewis Carroll,1865,https://www.toptenbooks.net/Kate-Atkinson,,,
Top Ten Books,Kate Atkinson,3,Pride and Prejudice,Jane Austen,1813,https://www.toptenbooks.net/Kate-Atkinson,,,
